代码,名称,最新价,涨跌幅,最高,最低,成交额,行情时间,类型,所属板块
600276,恒瑞医药,47.67,-3.7,48.8,47.55,5168050000.0,20260821140054,代表池,医药
300760,迈瑞医疗,154.48,-2.27,159.0,153.89,1036730000.0,20260821140051,代表池,医药
603259,药明康德,162.5,-3.22,166.39,162.16,7521370000.0,20260821140054,代表池,医药
300015,爱尔眼科,8.32,-3.03,8.53,8.32,477530000.0,20260821140054,代表池,医药
300122,智飞生物,13.93,-3.8,14.46,13.2,1304600000.0,20260821140054,代表池,医药
000538,云南白药,49.41,-1.59,50.08,49.39,308040000.0,20260821140054,代表池,医药
688271,联影医疗,106.19,-3.45,109.0,105.77,442160000.0,20260821140054,代表池,医药
300750,宁德时代,391.58,1.71,397.83,383.05,6850120000.0,20260821140051,代表池,新能源
002594,比亚迪,90.02,-0.51,91.08,89.72,1221550000.0,20260821140054,代表池,新能源车
601012,隆基绿能,12.42,0.08,12.58,12.33,565790000.0,20260821140053,代表池,光伏
300274,阳光电源,112.33,1.3,114.59,109.71,2868310000.0,20260821140054,代表池,光伏储能
002459,晶澳科技,7.28,-0.27,7.37,7.23,129530000.0,20260821140054,代表池,光伏
688223,晶科能源,4.36,-0.68,4.42,4.33,156530000.0,20260821140053,代表池,光伏
002466,天齐锂业,47.96,4.19,48.93,45.8,2702840000.0,20260821140054,代表池,锂电
002460,赣锋锂业,53.78,4.9,54.97,50.81,2830400000.0,20260821140054,代表池,锂电
300014,亿纬锂能,55.68,1.13,57.05,54.53,2094010000.0,20260821140054,代表池,锂电
002812,恩捷股份,56.53,1.24,58.46,55.19,1160480000.0,20260821140054,代表池,锂电
601138,工业富联,62.23,0.16,62.88,61.38,3336980000.0,20260821140053,代表池,AI服务器
000977,浪潮信息,76.0,1.23,76.59,74.25,3058950000.0,20260821140054,代表池,AI服务器
603019,中科曙光,83.66,-0.81,84.65,83.29,1421150000.0,20260821140054,代表池,国产算力
688041,海光信息,242.77,-1.45,249.32,242.22,3790970000.0,20260821140052,代表池,国产算力
688256,寒武纪,1026.0,1.5,1061.47,996.0,10468330000.0,20260821140053,代表池,国产AI芯片
300496,中科创达,56.47,-1.72,57.1,56.09,319970000.0,20260821140051,代表池,软件
600570,恒生电子,21.09,-0.75,21.37,21.01,259120000.0,20260821140054,代表池,软件
002230,科大讯飞,39.0,-2.28,39.64,38.96,1099730000.0,20260821140054,代表池,AI应用
300033,同花顺,219.32,-0.41,222.99,218.01,1330510000.0,20260821140054,代表池,金融科技
300454,深信服,118.54,-0.03,118.88,115.39,1059420000.0,20260821140054,代表池,软件
300308,中际旭创,933.5,3.24,943.88,901.4,21501830000.0,20260821140051,代表池,光模块/CPO
300502,新易盛,438.66,5.95,443.63,420.06,17576920000.0,20260821140051,代表池,光模块/CPO
300394,天孚通信,272.2,-1.47,288.0,272.02,11253670000.0,20260821140051,代表池,光模块/CPO
002281,光迅科技,176.4,1.88,182.93,173.26,4925360000.0,20260821140054,代表池,光模块/CPO
688498,源杰科技,1555.17,0.66,1606.99,1540.01,4317760000.0,20260821140054,代表池,光模块/CPO
000063,中兴通讯,33.68,-0.47,33.92,33.43,1211340000.0,20260821140054,代表池,通信
600522,中天科技,33.03,0.58,33.8,32.02,4076520000.0,20260821140053,代表池,通信
600487,亨通光电,61.4,-1.0,63.3,59.48,8293010000.0,20260821140055,代表池,通信
002371,北方华创,709.68,-0.4,725.68,709.0,3111020000.0,20260821140054,代表池,半导体设备
688012,中微公司,360.67,-1.32,369.75,359.5,4260100000.0,20260821140054,代表池,半导体设备
688072,拓荆科技,671.63,0.06,699.66,670.3,2911080000.0,20260821140054,代表池,半导体设备
688120,华海清科,270.26,-3.65,280.5,268.76,1732950000.0,20260821140052,代表池,半导体设备
688037,芯源微,364.14,-0.94,375.5,353.23,1463680000.0,20260821140054,代表池,半导体设备
300604,长川科技,276.95,0.44,284.58,270.02,2848370000.0,20260821140051,代表池,半导体设备
688200,华峰测控,408.3,-1.76,418.09,402.2,857690000.0,20260821140055,代表池,半导体检测
688361,中科飞测,345.56,-2.82,358.93,342.0,2115140000.0,20260821140053,代表池,半导体检测
688981,中芯国际,124.51,-0.79,126.86,124.2,3022690000.0,20260821140055,代表池,晶圆制造
688347,华虹公司,230.69,-0.86,238.5,229.02,2534520000.0,20260821140052,代表池,晶圆制造
688008,澜起科技,200.12,0.51,204.18,199.11,3288260000.0,20260821140054,代表池,存储/接口芯片
603986,兆易创新,403.35,-0.04,411.0,400.1,9816340000.0,20260821140055,代表池,存储芯片
688525,佰维存储,234.43,-0.1,239.48,232.27,2786200000.0,20260821140055,代表池,存储芯片
688126,沪硅产业,24.44,-0.04,25.15,23.93,1304960000.0,20260821140055,代表池,半导体材料
688019,安集科技,240.22,-3.3,248.98,240.16,998660000.0,20260821140054,代表池,半导体材料
300666,江丰电子,244.2,-1.95,253.36,244.08,2035620000.0,20260821140054,代表池,半导体材料
600584,长电科技,78.02,-1.84,80.5,77.51,6031580000.0,20260821140053,代表池,封测
002156,通富微电,63.53,0.6,65.92,63.01,5151580000.0,20260821140054,代表池,封测
002916,深南电路,357.13,3.52,362.0,342.98,2373860000.0,20260821140054,代表池,PCB
300476,胜宏科技,252.5,-0.37,257.0,248.51,4801210000.0,20260821140051,代表池,PCB
002463,沪电股份,120.48,5.39,122.51,113.39,5000230000.0,20260821140054,代表池,PCB
600183,生益科技,131.96,4.5,134.86,124.88,7439020000.0,20260821140054,代表池,覆铜板
